Merged_Group,Count,Name,Topics Merged,ThemeText,Business_Category
0,9404,['0_hai_pr_bas_ye'],1,0_hai_pr_bas_ye,11
118,9145,"['1_road_expressway_mumbai_bangalore', '2_hotel_at_hyderabad_nagar', '118_ev_mumbai_maharashtra_residential', '174_delhi_gujarat_central_pradesh', '179_kolkata_hyderabad_mumbai_andhra']",5,1_road_expressway_mumbai_bangalore 2_hotel_at_hyderabad_nagar 118_ev_mumbai_maharashtra_residential 174_delhi_gujarat_central_pradesh 179_kolkata_hyderabad_mumbai_andhra,4
84,7181,"['34_charged_charging_charges_charge', '36_charging_charge_charged_slow', '41_charging_charge_charger_support', '49_charger_charging_charge_charged', '79_charging_charge_charges_rate', '84_charger_kw_kwh_above', '106_charging_charge_charger_issue', '127_charged_charging_charge_issues', '128_charges_chargeable_rs_charged', '129_charging_charge_charged_battery', '130_charging_charger_charge_charged', '132_charging_charge_ev_also', '151_chargezone_charging_charge_message', '169_charger_charging_charge_charges', '175_charging_charged_charge_issue', '189_rs_overheads_increased_overcharged', '217_charging_charger_charges_charge', '219_charging_charge_charged_gives', '220_chargezone_charging_charger_charge', '231_charging_charge_charger_charges', '262_charging_charged_charger_charge', '287_charging_charge_charger_possible']",22,34_charged_charging_charges_charge 36_charging_charge_charged_slow 41_charging_charge_charger_support 49_charger_charging_charge_charged 79_charging_charge_charges_rate 84_charger_kw_kwh_above 106_charging_charge_charger_issue 127_charged_charging_charge_issues 128_charges_chargeable_rs_charged 129_charging_charge_charged_battery 130_charging_charger_charge_charged 132_charging_charge_ev_also 151_chargezone_charging_charge_message 169_charger_charging_charge_charges 175_charging_charged_charge_issue 189_rs_overheads_increased_overcharged 217_charging_charger_charges_charge 219_charging_charge_charged_gives 220_chargezone_charging_charger_charge 231_charging_charge_charger_charges 262_charging_charged_charger_charge 287_charging_charge_charger_possible,15
4,4449,"['4_on_evs_issues_will', '18_evs_ev_will_more']",2,4_on_evs_issues_will 18_evs_ev_will_more,2
5,3467,"['5_discount_premium_dealer_insurer', '123_dealer_insurance_service_cost']",2,5_discount_premium_dealer_insurer 123_dealer_insurance_service_cost,2
3,3290,['3_will_tata_tatas_escalate'],1,3_will_tata_tatas_escalate,8
172,2909,"['43_reset_will_issue_still', '44_update_issues_issue_below', '94_ok_multiple_tried_okay', '103_issue_issues_below_error', '133_seems_sc_issues_ipc', '172_charge_issue_solved_late', '218_issue_battery_issues_resolved', '244_service_replaced_update_issue']",8,43_reset_will_issue_still 44_update_issues_issue_below 94_ok_multiple_tried_okay 103_issue_issues_below_error 133_seems_sc_issues_ipc 172_charge_issue_solved_late 218_issue_battery_issues_resolved 244_service_replaced_update_issue,0
8,2855,"['8_battery_batteries_cost_car', '90_battery_service_cheap_unlocked']",2,8_battery_batteries_cost_car 90_battery_service_cheap_unlocked,2
6,2769,['6_or_ambient_cools_but'],1,6_or_ambient_cools_but,9
7,2526,['7_will_crossed_last_at'],1,7_will_crossed_last_at,9
19,2396,"['19_will_could_can_now', '20_time_if_or_yeah']",2,19_will_could_can_now 20_time_if_or_yeah,6
10,2260,"['10_teslas_tesla_other_price', '146_cheaper_electric_sector_demand']",2,10_teslas_tesla_other_price 146_cheaper_electric_sector_demand,2
9,2224,['9_discount_months_ev_for'],1,9_discount_months_ev_for,2
11,1983,['11_offline_reliable_unavailable_near'],1,11_offline_reliable_unavailable_near,0
12,1685,['12_here_pls_thats_trying'],1,12_here_pls_thats_trying,9
13,1578,['13_issues_much_update_cost'],1,13_issues_much_update_cost,7
14,1442,['14_unable_tried_got_able'],1,14_unable_tried_got_able,6
15,1352,['15_below_in_used_city'],1,15_below_in_used_city,4
16,1308,['16_replaced_tigor_changed_on'],1,16_replaced_tigor_changed_on,5
17,1280,['17_status_able_support_charging'],1,17_status_able_support_charging,15
67,1212,"['67_glad_noted_useful_thanks', '74_noted_got_names_thanks', '173_received_fixed_delivered_trying', '269_delivered_great_branch_pricing']",4,67_glad_noted_useful_thanks 74_noted_got_names_thanks 173_received_fixed_delivered_trying 269_delivered_great_branch_pricing,1
21,1167,['21_upgrade_around_rs_dc'],1,21_upgrade_around_rs_dc,13
58,1112,"['58_electricity_voltage_plug_as', '113_plugtop_plugs_evse_socket', '137_current_electrician_plug_amps']",3,58_electricity_voltage_plug_as 113_plugtop_plugs_evse_socket 137_current_electrician_plug_amps,10
22,1092,['22_weird_ac_noticed_also'],1,22_weird_ac_noticed_also,9
23,1067,['23_message_available_update_option'],1,23_message_available_update_option,13
24,1034,['24_panel_free_at_subsidy'],1,24_panel_free_at_subsidy,1
25,1024,['25_driver_exactly_issues_buying'],1,25_driver_exactly_issues_buying,0
26,1000,['26_authorised_done_check_got'],1,26_authorised_done_check_got,1
27,988,['27_srujan_ev_ravi_krishna'],1,27_srujan_ev_ravi_krishna,11
28,980,['28_only_available_do_can'],1,28_only_available_do_can,6
29,953,['29_rsa_charging_charge_problem'],1,29_rsa_charging_charge_problem,15
30,950,['30_offering_any_resale_ok'],1,30_offering_any_resale_ok,17
31,895,['31_need_release_applied_automatically'],1,31_need_release_applied_automatically,13
32,887,['32_contact_cancel_online_email'],1,32_contact_cancel_online_email,1
33,883,['33_on_you_good_nexdigitron'],1,33_on_you_good_nexdigitron,9
35,869,['35_got_at_on_mode'],1,35_got_at_on_mode,5
37,846,['37_available_in_he_bharat'],1,37_available_in_he_bharat,11
107,835,"['93_waiting_waited_gauged_around', '107_been_next_upcoming_planned', '222_will_wait_postponed_coming']",3,93_waiting_waited_gauged_around 107_been_next_upcoming_planned 222_will_wait_postponed_coming,12
38,821,['38_accessory_replaced_outside_in'],1,38_accessory_replaced_outside_in,10
39,811,['39_after_will_some_worth'],1,39_after_will_some_worth,17
40,786,['40_around_bring_few_yes'],1,40_around_bring_few_yes,6
42,755,['42_evs_ev_vehicle_vehicles'],1,42_evs_ev_vehicle_vehicles,14
45,729,['45_rs_tata_need_what'],1,45_rs_tata_need_what,8
46,702,['46_same_update_why_not'],1,46_same_update_why_not,13
47,672,['47_maruti_mahindras_issues_on'],1,47_maruti_mahindras_issues_on,3
48,630,['48_help_leave_keep_same'],1,48_help_leave_keep_same,9
50,622,['50_will_provide_send_free'],1,50_will_provide_send_free,1
51,609,['51_upgrade_buy_bought_same'],1,51_upgrade_buy_bought_same,13
66,606,"['66_battery_issue_how_draining', '246_battery_escalates_panel_damage']",2,66_battery_issue_how_draining 246_battery_escalates_panel_damage,10
52,604,['52_approved_upto_31st_will'],1,52_approved_upto_31st_will,1
53,584,['53_issues_issue_service_refurbished'],1,53_issues_issue_service_refurbished,16
54,563,['54_got_message_available_update'],1,54_got_message_available_update,13
55,562,['55_receive_service_updates_got'],1,55_receive_service_updates_got,16
56,545,['56_teslaindia_mumbai_import_on'],1,56_teslaindia_mumbai_import_on,3
57,543,['57_electrical_aftermarket_accessories_message'],1,57_electrical_aftermarket_accessories_message,10
59,529,['59_ev_ndz_nnmm_and'],1,59_ev_ndz_nnmm_and,9
60,528,['60_yeah_replied_should_some'],1,60_yeah_replied_should_some,6
61,521,['61_registered_got_central_account'],1,61_registered_got_central_account,1
62,517,['62_reservation_sa_delivered_booking'],1,62_reservation_sa_delivered_booking,18
63,514,['63_max_200_getting_gives'],1,63_max_200_getting_gives,5
64,502,['64_will_fixed_power_then'],1,64_will_fixed_power_then,5
65,500,['65_delivery_car_dealer_option'],1,65_delivery_car_dealer_option,14
111,490,"['111_around_have_yes_more', '182_around_near_road_price']",2,111_around_have_yes_more 182_around_near_road_price,9
68,475,['68_290_230_340_330'],1,68_290_230_340_330,9
70,469,['70_yeah_trade_imported_export'],1,70_yeah_trade_imported_export,3
69,469,['69_51k_45k_above_around'],1,69_51k_45k_above_around,9
71,468,['71_2air_issue_oem_car'],1,71_2air_issue_oem_car,14
72,459,['72_yesterday_during_affected_area'],1,72_yesterday_during_affected_area,5
73,456,['73_able_below_ram_press'],1,73_able_below_ram_press,9
75,445,['75_free_in_price_update'],1,75_free_in_price_update,7
76,442,['76_eae056ea_apk_data_exporting'],1,76_eae056ea_apk_data_exporting,3
